threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name,threshold_type
0.85,0.9827606895724171,0.9544937428896473,0.6821138211382114,0.7956377430061641,0.8960430879602221,0.780059453375902,23731,40,391,839,0.04550625711035267,0.3178861788617886,central_hist_gradient_boosting_model,bank_1_valid,best_f1
0.85,0.98932,0.9635416666666666,0.6928838951310862,0.8061002178649237,0.856382283623218,0.7310452420388236,24178,21,246,555,0.036458333333333336,0.30711610486891383,central_hist_gradient_boosting_model,bank_2_valid,best_f1
0.85,0.9860402791944161,0.9580756013745705,0.6863613983259478,0.7997705106138842,0.8821650389363038,0.7635273287576596,47909,61,637,1394,0.04192439862542955,0.31363860167405216,central_hist_gradient_boosting_model,central_valid,best_f1
