strategy_name,threshold,mean_f1,min_f1_between_banks,mean_roc_auc,mean_recall,mean_false_positive_ratio,internal_score,final_score
central_hist_gradient_boosting_model,0.85,0.8005028238283239,0.7956377430061641,0.8781968035065812,0.6871197048650819,0.04129632968970518,0.7136379663621462,0.7136379663621462
tuned_hist_gradient_boosting_model,0.85,0.7942449618499957,0.7841239109390126,0.8801826451881062,0.6739207968759134,0.032855932506329906,0.708143521608127,0.708143521608127
baseline_centralized_model,0.8,0.6764492858000004,0.622568093385214,0.8720859852749907,0.6028508125576059,0.22335855396148338,0.6010857726287943,0.6010857726287943
central_logistic_baseline,0.9,0.5921192656351163,0.5723336853220697,0.8674605414202142,0.45634032083713977,0.15707574212426037,0.5469547832182401,0.5469547832182401
federated_performance_weighted_model,0.65,0.5562102313076712,0.4090328078397955,0.8640127397231873,0.5233661595352724,0.40639732537782663,0.47978901068939594,0.47978901068939594
federated_equal_weight_model,0.6,0.5437837311528346,0.3932457786116323,0.8630480432598312,0.5564381423222172,0.46650645969153864,0.4708712480299035,0.4708712480299035
