rank_test_score,mean_test_score,std_test_score,param_model__max_iter,param_model__learning_rate,param_model__max_leaf_nodes,param_model__l2_regularization
1,0.7223374754822716,0.00034176685929521167,150,0.05,15,0.05
2,0.7221953860531996,0.001062265384546901,150,0.05,15,0.0
3,0.7203227262655657,0.001511424929866667,150,0.03,15,0.05
4,0.7199785863820933,0.0008795699091388998,150,0.03,15,0.0
5,0.702354679905687,0.0024117204230624245,150,0.03,31,0.0
6,0.6993750782030768,0.011318640747808861,150,0.03,31,0.05
7,0.6991357503937653,0.014867692637420271,150,0.05,31,0.05
8,0.6980718837920425,0.010650757246012665,150,0.05,31,0.0
