threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name,threshold_type
0.6,0.9353225870965162,0.3651567944250871,0.42601626016260163,0.3932457786116323,0.8625527860175326,0.4220382353371014,22860,911,706,524,0.6348432055749129,0.5739837398373984,federated_equal_weight_model,bank_1_valid,best_f1
0.6,0.98264,0.7398692810457517,0.7066167290886392,0.722860791826309,0.8579536540521092,0.6890824694983948,24000,199,235,566,0.2601307189542484,0.2933832709113608,federated_equal_weight_model,bank_2_valid,best_f1
0.6,0.9589808203835923,0.4954545454545455,0.5366814377154111,0.5152446230205625,0.8686376897098517,0.5510434656715597,46860,1110,941,1090,0.5045454545454545,0.4633185622845889,federated_equal_weight_model,central_valid,best_f1
