num_leaves,min_data_in_leaf,learning_rate,feature_fraction,bagging_fraction,lambda_l2,auc_roc,auc_pr,f1,precision,recall,specificity,false_positive_rate,false_positive_ratio,true_positives,false_positives,true_negatives,false_negatives,threshold,predicted_positives,actual_positives,target_recall,candidate_id,custom_metric_key,objective_value,evaluation_segment,best_iteration
63,200,0.04,0.9,0.8,3.0,0.9198819551204926,0.858087241245978,0.33785734911926074,0.20788912579957355,0.901386748844376,0.6852584015814741,0.31474159841852584,0.7921108742004265,585,2229,4853,64,0.011550778180686375,2814,649,0.9,5,mobile_app_alert_quality,0.7921108742004265,mobile_app,96
127,200,0.02,0.8,0.8,5.0,0.9202378999429531,0.8613830517247516,0.3206357906275692,0.195,0.901386748844376,0.6589946342841005,0.34100536571589946,0.805,585,2415,4667,64,0.010733457511447667,3000,649,0.9,6,mobile_app_alert_quality,0.805,mobile_app,207
63,120,0.03,0.8,0.85,2.0,0.9183918169242625,0.8630947561288225,0.31681559707554835,0.1921813403416557,0.901386748844376,0.6527817000847218,0.3472182999152782,0.8078186596583443,585,2459,4623,64,0.003594502563219049,3044,649,0.9,4,mobile_app_alert_quality,0.8078186596583443,mobile_app,263
31,120,0.03,0.85,0.9,2.0,0.919258398970632,0.8647086086883842,0.30944194657498014,0.1867816091954023,0.901386748844376,0.6403558316859644,0.35964416831403556,0.8132183908045977,585,2547,4535,64,0.011385836598045485,3132,649,0.9,3,mobile_app_alert_quality,0.8132183908045977,mobile_app,253
15,80,0.05,0.85,0.85,1.0,0.9196943008360352,0.836571343264245,0.30131341746072626,0.18089053803339517,0.901386748844376,0.6259531205874047,0.3740468794125953,0.8191094619666048,585,2649,4433,64,0.09945288895180018,3234,649,0.9,1,mobile_app_alert_quality,0.8191094619666048,mobile_app,27
31,80,0.05,0.9,0.9,1.0,0.9167709190469209,0.8628312134825948,0.28515720204728245,0.16936884771279676,0.901386748844376,0.5948884495905111,0.4051115504094888,0.8306311522872032,585,2869,4213,64,0.0020014939525535127,3454,649,0.9,2,mobile_app_alert_quality,0.8306311522872032,mobile_app,271
