bank_key,original_column,normalized_column
bank_3,transaction_id,transaction_id
bank_3,bank_code,bank_code
bank_3,bank_name,bank_name
bank_3,bank_country,bank_country
bank_3,bank_tier,bank_tier
bank_3,client_id,client_id
bank_3,client_segment,client_segment
bank_3,channel,channel
bank_3,card_brand,card_brand
bank_3,pan_masked,pan_masked
bank_3,pan_hash,pan_hash
bank_3,MTI,mti
bank_3,DE2_PAN,de2_pan
bank_3,DE3_processing_code,de3_processing_code
bank_3,DE4_amount_transaction,de4_amount_transaction
bank_3,DE6_amount_cardholder_billing,de6_amount_cardholder_billing
bank_3,DE7_transmission_datetime,de7_transmission_datetime
bank_3,DE9_conversion_rate_billing,de9_conversion_rate_billing
bank_3,DE11_STAN,de11_stan
bank_3,DE12_local_time,de12_local_time
bank_3,DE13_local_date,de13_local_date
bank_3,DE14_expiration_date,de14_expiration_date
bank_3,DE15_settlement_date,de15_settlement_date
bank_3,DE18_merchant_category_code,de18_merchant_category_code
bank_3,DE19_acquirer_country_code,de19_acquirer_country_code
bank_3,DE22_pos_entry_mode,de22_pos_entry_mode
bank_3,DE23_card_seq_number,de23_card_seq_number
bank_3,DE25_pos_condition_code,de25_pos_condition_code
bank_3,DE32_acquiring_institution_id,de32_acquiring_institution_id
bank_3,DE35_track2_data_masked,de35_track2_data_masked
bank_3,DE37_retrieval_reference_number,de37_retrieval_reference_number
bank_3,DE38_authorization_code,de38_authorization_code
bank_3,DE39_response_code,de39_response_code
bank_3,DE41_terminal_id,de41_terminal_id
bank_3,DE42_card_acceptor_id,de42_card_acceptor_id
bank_3,DE43_card_acceptor_name_location,de43_card_acceptor_name_location
bank_3,DE44_additional_response_data,de44_additional_response_data
bank_3,DE48_additional_data,de48_additional_data
bank_3,DE49_currency_code_transaction,de49_currency_code_transaction
bank_3,DE50_currency_code_settlement,de50_currency_code_settlement
bank_3,DE51_currency_code_billing,de51_currency_code_billing
bank_3,DE52_pin_data_present,de52_pin_data_present
bank_3,DE54_additional_amounts,de54_additional_amounts
bank_3,DE55_emv_data_present,de55_emv_data_present
bank_3,DE56_original_data,de56_original_data
bank_3,DE58_authorizing_agent_id,de58_authorizing_agent_id
bank_3,DE60_pos_terminal_type,de60_pos_terminal_type
bank_3,DE61_pos_extended_data,de61_pos_extended_data
bank_3,DE63_network_specific,de63_network_specific
bank_3,DE100_receiving_institution_id,de100_receiving_institution_id
bank_3,DE102_account_id_1,de102_account_id_1
bank_3,DE103_account_id_2,de103_account_id_2
bank_3,DE123_pos_data_code,de123_pos_data_code
bank_3,amount_local,amount_local
bank_3,amount_tx_currency,amount_tx_currency
bank_3,currency_tx_alpha,currency_tx_alpha
bank_3,amount_usd,amount_usd
bank_3,is_international,is_international
bank_3,distance_from_home_km,distance_from_home_km
bank_3,hour_local,hour_local
bank_3,day_of_week,day_of_week
bank_3,approved,approved
bank_3,response_description,response_description
bank_3,client_baseline_amount,client_baseline_amount
bank_3,client_home_city,client_home_city
bank_3,is_fraud,is_fraud
